user_id,product_id,timestamp
1,id_00000054,2025-03-10 14:16:16
1,id_00000162,2024-01-25 09:51:11
1,id_00000416,2023-11-19 08:43:33
1,id_00000250,2025-05-28 21:59:41
1,id_00000110,2024-05-31 13:24:35
1,id_00000463,2024-05-08 03:36:24
1,id_00000156,2024-04-21 07:26:29
1,id_00000150,2024-02-16 07:40:01
1,id_00000457,2025-05-24 23:18:36
2,id_00000372,2024-01-18 13:08:24
2,id_00000470,2025-04-08 13:05:03
3,id_00000021,2025-05-28 05:32:20
3,id_00000055,2025-09-22 21:55:27
3,id_00000494,2024-12-27 12:51:38
3,id_00000016,2024-01-06 11:08:56
3,id_00000171,2025-01-31 14:04:11
3,id_00000231,2024-09-22 15:41:04
4,id_00000121,2023-11-24 14:57:49
4,id_00000065,2023-11-23 01:57:07
5,id_00000081,2024-01-11 17:05:51
5,id_00000497,2024-04-17 18:11:56
5,id_00000498,2024-04-28 15:36:18
5,id_00000076,2024-11-26 10:59:49
5,id_00000240,2025-02-09 12:56:03
5,id_00000269,2023-11-20 13:09:28
5,id_00000214,2025-01-08 20:51:28
5,id_00000033,2024-04-02 09:05:38
6,id_00000050,2025-05-09 02:03:52
6,id_00000185,2025-03-18 17:12:56
6,id_00000487,2025-04-27 16:08:12
6,id_00000116,2024-12-27 04:56:13
6,id_00000034,2024-09-20 18:54:28
6,id_00000485,2024-04-19 03:48:09
6,id_00000379,2024-10-13 20:21:18
6,id_00000432,2025-01-30 15:12:00
7,id_00000359,2024-06-03 00:20:32
7,id_00000034,2025-07-20 15:22:08
7,id_00000271,2025-09-05 03:25:27
7,id_00000095,2023-11-04 23:38:14
7,id_00000242,2025-06-11 07:41:10
7,id_00000382,2025-07-17 20:03:04
7,id_00000041,2024-03-02 22:45:25
7,id_00000357,2025-04-25 04:45:11
7,id_00000063,2024-09-23 04:35:42
8,id_00000188,2024-07-21 05:13:15
8,id_00000113,2024-06-02 18:23:20
8,id_00000139,2024-02-28 16:50:22
9,id_00000377,2024-04-15 04:13:51
9,id_00000341,2025-06-14 23:03:13
9,id_00000213,2024-07-18 09:04:07
9,id_00000367,2024-01-18 07:49:45
9,id_00000432,2024-01-10 23:23:58
9,id_00000204,2024-08-21 00:50:59
10,id_00000475,2024-01-14 01:24:56
10,id_00000159,2024-08-04 18:21:08
10,id_00000419,2025-08-19 04:55:54
10,id_00000080,2024-07-24 02:17:27
11,id_00000135,2025-02-10 20:45:38
11,id_00000244,2024-05-23 09:31:04
