product_id,image_path
id_00004848,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00004848\comsumer_01.jpg
id_00004848,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00004848\shop_01.jpg
id_00005025,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00005025\comsumer_01.jpg
id_00005025,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00005025\comsumer_02.jpg
id_00005025,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00005025\comsumer_03.jpg
id_00005025,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00005025\comsumer_04.jpg
id_00005025,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00005025\comsumer_05.jpg
id_00005025,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00005025\comsumer_06.jpg
id_00005025,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00005025\shop_01.jpg
id_00005661,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00005661\comsumer_01.jpg
id_00005661,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00005661\shop_01.jpg
id_00005855,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00005855\comsumer_01.jpg
id_00005855,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00005855\shop_01.jpg
id_00006033,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006033\comsumer_01.jpg
id_00006033,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006033\comsumer_02.jpg
id_00006033,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006033\shop_01.jpg
id_00006062,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006062\comsumer_01.jpg
id_00006062,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006062\shop_01.jpg
id_00006221,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006221\comsumer_01.jpg
id_00006221,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006221\comsumer_02.jpg
id_00006221,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006221\comsumer_03.jpg
id_00006221,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006221\comsumer_04.jpg
id_00006221,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006221\comsumer_05.jpg
id_00006221,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006221\shop_01.jpg
id_00006221,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006221\shop_02.jpg
id_00006226,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006226\comsumer_01.jpg
id_00006226,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006226\shop_01.jpg
id_00006229,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006229\comsumer_01.jpg
id_00006229,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006229\comsumer_02.jpg
id_00006229,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006229\comsumer_03.jpg
id_00006229,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006229\shop_01.jpg
id_00006544,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006544\comsumer_01.jpg
id_00006544,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006544\comsumer_02.jpg
id_00006544,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006544\shop_01.jpg
id_00006544,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006544\shop_02.jpg
id_00006850,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006850\comsumer_01.jpg
id_00006850,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006850\comsumer_02.jpg
id_00006850,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006850\comsumer_03.jpg
id_00006850,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006850\comsumer_04.jpg
id_00006850,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006850\shop_01.jpg
id_00006850,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006850\shop_02.jpg
id_00006981,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006981\comsumer_01.jpg
id_00006981,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00006981\shop_01.jpg
id_00007248,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007248\comsumer_01.jpg
id_00007248,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007248\shop_01.jpg
id_00007305,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007305\comsumer_01.jpg
id_00007305,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007305\comsumer_02.jpg
id_00007305,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007305\comsumer_03.jpg
id_00007305,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007305\comsumer_04.jpg
id_00007305,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007305\comsumer_05.jpg
id_00007305,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007305\comsumer_06.jpg
id_00007305,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007305\comsumer_07.jpg
id_00007305,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007305\comsumer_08.jpg
id_00007305,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007305\comsumer_09.jpg
id_00007305,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007305\shop_01.jpg
id_00007305,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007305\shop_02.jpg
id_00007305,F:\Python\Project Code\img\img\CLOTHING\Blouse\id_00007305\shop_03.jpg
